34,32,33,27,26,28,28,20,25,28,27,21,20,25,21,20,24,41,27,40,22,50,26,47,28,54,30,53,31,78,32,78
50,38,46,41,47,33,38,32,44,31,34,34,38,27,32,30,32,30,33,33,41,29,41,31,52,27,45,36,67,37,64,40
42,40,43,33,38,36,36,29,36,31,36,26,34,35,30,27,30,48,36,49,35,61,34,52,33,61,36,67,36,91,37,83
50,38,45,39,47,34,39,34,46,30,37,34,41,32,34,33,33,23,33,30,46,28,39,28,50,23,49,31,69,33,64,38
30,36,38,26,34,28,32,24,30,26,31,23,28,30,28,24,11,33,16,33,14,40,14,39,11,47,14,50,15,72,22,66
53,41,46,45,49,37,44,39,44,32,40,37,44,31,39,33,35,28,37,33,44,25,41,32,49,25,54,31,69,29,62,36
39,37,39,32,33,33,40,25,35,29,35,30,29,34,36,35,25,44,28,44,24,52,28,47,26,59,28,63,30,83,35,79
51,33,43,41,45,28,38,35,45,27,38,29,43,29,35,34,37,28,39,35,47,29,43,31,59,27,57,33,71,37,64,51
36,38,40,26,36,27,36,23,30,26,35,28,29,28,32,30,33,51,33,49,29,56,30,54,27,64,32,64,36,74,42,74
48,33,40,39,46,28,36,37,42,27,40,35,41,26,38,35,36,22,32,27,46,19,37,27,46,22,45,26,58,32,51,46
36,31,42,28,40,28,42,25,35,34,37,32,34,34,40,31,28,46,30,49,22,55,27,51,24,57,31,62,37,70,43,65
46,32,43,40,43,36,39,37,47,29,40,33,47,34,41,38,32,20,32,25,35,16,33,21,40,18,38,28,45,34,36,47
44,37,53,33,48,36,48,31,43,35,45,28,44,37,42,38,22,34,26,40,17,42,18,37,20,35,26,30,32,42,37,40
55,46,52,51,54,44,48,43,56,36,52,40,50,40,45,42,39,26,36,35,39,24,32,30,33,23,29,29,37,38,30,46
49,35,57,34,49,33,50,30,47,36,48,28,43,35,40,33,20,29,26,31,18,31,19,25,18,25,26,23,31,34,38,28
52,47,41,52,42,42,39,42,44,35,30,39,32,31,25,32,38,14,33,0,21,32,53,61,26,38,3,-7,0,19,26,49
46,34,49,27,40,29,43,25,36,31,37,22,31,26,30,21,22,22,25,21,19,23,29,22,26,23,36,22,36,29,42,31
60,57,50,59,51,48,47,52,48,44,39,51,40,38,35,39,37,30,34,37,38,33,33,38,37,36,32,44,39,45,40,47
56,46,57,41,47,42,54,32,45,33,48,27,39,32,37,27,29,30,35,25,31,31,38,23,37,28,46,22,46,36,50,37
56,56,49,57,50,47,46,46,45,41,36,43,38,34,29,34,37,29,28,31,32,27,25,31,30,32,24,42,35,38,38,42
56,43,56,37,46,38,52,33,43,30,46,24,38,30,37,24,32,26,35,18,30,25,39,17,38,22,44,23,41,36,50,39
65,57,55,61,56,51,49,53,50,49,40,50,46,39,37,43,40,35,32,38,38,35,31,39,38,36,35,43,46,41,49,50
66,47,64,42,57,39,62,35,53,40,54,33,45,37,47,31,42,33,47,30,42,29,48,26,47,31,51,37,51,49,59,49
64,55,51,57,51,46,46,49,47,43,40,44,41,37,36,40,36,31,30,39,33,31,28,39,35,31,39,37,50,39,47,44
